date,exchange,deal_type,symbol,security_name,client_name,buy_sell,quantity,price
26-AUG-2026,NSE,bulk_deals,LAMOSAIC,Lamosaic India Limited,ALTIZEN VENTURES LLP,BUY,60000,57.31
26-AUG-2026,NSE,bulk_deals,MVKAGRO,M.V.K. Agro Food Prod Ltd,NEO APEX SHARE BROKING SERVICES LLP,BUY,482100,152.05
26-AUG-2026,NSE,bulk_deals,POLYSIL,Polysil Irrigation Syst L,NEO APEX SHARE BROKING SERVICES LLP,BUY,267500,47.46
26-AUG-2026,NSE,bulk_deals,PWL,Physicswallah Limited,ICICI PRUDENTIAL MUTUAL FUND,BUY,22000003,117.72
26-AUG-2026,NSE,bulk_deals,RAMBHAJO,Advit Jewels Limited,MICROCURVES TRADING PRIVATE LIMITED,BUY,605877,242.94
26-AUG-2026,NSE,bulk_deals,RAMBHAJO,Advit Jewels Limited,L7 HITECH PRIVATE LIMITED,BUY,440000,246.2
26-AUG-2026,NSE,bulk_deals,RAMBHAJO,Advit Jewels Limited,NAVRATRI SHARE TRADING PRIVATE LIMITED,BUY,235000,220.13
26-AUG-2026,NSE,bulk_deals,RAMBHAJO,Advit Jewels Limited,NK SECURITIES RESEARCH PRIVATE LIMITED,BUY,306678,241.6
26-AUG-2026,NSE,bulk_deals,RAMBHAJO,Advit Jewels Limited,ALPHAGREP SECURITIES PRIVATE LIMITED,BUY,258130,240.51
26-AUG-2026,NSE,bulk_deals,RAMBHAJO,Advit Jewels Limited,QE SECURITIES LLP,BUY,448159,236.42
26-AUG-2026,NSE,bulk_deals,RAMBHAJO,Advit Jewels Limited,JUNOMONETA FINSOL PRIVATE LIMITED,BUY,539000,240.41
26-AUG-2026,NSE,bulk_deals,RATNAVEER,Ratnaveer Precision Eng L,HRTI PRIVATE LIMITED,BUY,395708,276.0
26-AUG-2026,NSE,bulk_deals,RATNAVEER,Ratnaveer Precision Eng L,QE SECURITIES LLP,BUY,367480,277.61
26-AUG-2026,NSE,bulk_deals,RATNAVEER,Ratnaveer Precision Eng L,ARIHANT CAPITAL MARKETS LIMITED,BUY,1174021,273.73
